CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1716505;Estadual;4.5
1716505;Municipal;
1716505;Pública;4.5
1716604;Estadual;5.3
1716604;Municipal;
1716604;Pública;5.2
1716653;Estadual;5.6
1716653;Municipal;4.6
1716653;Pública;5.1
1716703;Estadual;5.0
1716703;Pública;5.0
1717008;Estadual;4.6
1717008;Municipal;
1717008;Pública;4.5
1717206;Estadual;
1717206;Pública;
1717503;Estadual;4.4
1717503;Municipal;4.2
1717503;Pública;4.2
1717800;Estadual;4.4
1717800;Pública;4.3
1717909;Estadual;4.2
1717909;Municipal;
1717909;Pública;4.2
1718006;Estadual;4.6
1718006;Pública;4.6
1718204;Estadual;4.9
1718204;Municipal;
1718204;Pública;4.9
1718303;Estadual;4.7
1718303;Municipal;3.4
1718303;Pública;4.1
1718402;Estadual;
1718402;Pública;
1718451;Estadual;5.2
1718451;Municipal;
1718451;Pública;5.2
1718501;Estadual;4.3
1718501;Municipal;3.9
1718501;Pública;4.1
1718550;Estadual;
1718550;Municipal;4.0
1718550;Pública;4.0
1718659;Estadual;4.8
1718659;Pública;4.8
1718709;Estadual;3.7
1718709;Pública;3.7
1718758;Estadual;3.9
1718758;Pública;3.9
1718808;Estadual;4.8
1718808;Pública;4.8
1718840;Estadual;4.7
1718840;Pública;4.7
1718865;Estadual;4.3
1718865;Municipal;
1718865;Pública;4.3
1718881;Estadual;4.0
1718881;Municipal;
1718881;Pública;4.0
1718899;Estadual;4.6
1718899;Municipal;
1718899;Pública;4.4
1718907;Estadual;5.4
1718907;Municipal;3.2
1718907;Pública;4.4
1719004;Estadual;4.0
1719004;Municipal;
1719004;Pública;4.0
1720002;Estadual;4.9
1720002;Municipal;4.4
1720002;Pública;4.6
1720101;Estadual;4.5
1720101;Pública;4.3
1720150;Estadual;3.8
1720150;Pública;3.8
1720200;Estadual;4.4
1720200;Municipal;3.2
1720200;Pública;4.0
1720259;Estadual;5.2
1720259;Pública;5.2
1720309;Estadual;4.5
1720309;Municipal;4.3
1720309;Pública;4.4
